fNo.       mw1            mw2        best1.x[0]     best1.theta     best2.x[0]   best2.theta   t/frame
348     0.002284875     0.001612470     322.478     33.108    266.771     149.726    0.140000
349     0.002434833     0.001823041     322.964     33.147    267.127     149.680    0.130000
350     0.002472878     0.001747167     319.163     32.538    268.582     149.487    0.140000
351     0.002300228     0.001669395     320.350     33.040    268.734     148.813    0.130000
352     0.002187802     0.001715426     319.241     32.714    270.640     149.823    0.130000
353     0.002568688     0.001645473     319.996     32.809    267.531     149.906    0.150000
354     0.002584605     0.001630424     319.776     32.514    270.604     149.206    0.130000
355     0.002134818     0.001773204     320.477     32.823    272.271     149.339    0.140000
356     0.002436520     0.001696232     320.255     32.990    269.372     149.161    0.130000
357     0.002144536     0.001658448     320.166     32.817    269.304     149.735    0.130000
358     0.002482061     0.001656056     321.066     33.228    273.591     149.979    0.140000
359     0.002667630     0.001592501     319.722     33.272    270.821     149.728    0.130000
360     0.002489012     0.001654165     317.542     32.809    270.864     149.544    0.140000
361     0.002348477     0.001719557     319.253     33.479    271.504     149.986    0.130000
362     0.002701917     0.001735913     317.455     33.165    272.565     149.776    0.140000
363     0.002478429     0.001671015     319.607     33.772    273.680     149.971    0.140000
364     0.002719757     0.001541001     314.850     33.026    272.365     149.787    0.130000
365     0.002668337     0.001641717     314.421     32.970    272.563     149.848    0.130000
366     0.002684422     0.001650720     314.369     33.224    273.971     149.976    0.140000
367     0.002608966     0.001721122     318.093     34.593    272.851     149.494    0.130000
368     0.002330445     0.001591139     311.996     33.131    273.389     149.815    0.140000
369     0.002592239     0.001539021     311.469     33.091    273.731     149.589    0.130000
370     0.002364064     0.001534578     312.035     33.627    274.048     149.849    0.150000
371     0.002593438     0.001593600     311.020     33.373    274.043     149.844    0.130000
372     0.002709769     0.001609662     312.834     33.769    277.201     149.998    0.130000
373     0.002744099     0.001648806     312.751     33.585    273.545     149.907    0.130000
374     0.002733015     0.001726756     311.624     33.494    273.925     149.926    0.140000
375     0.002702527     0.001520480     314.511     33.994    276.581     149.851    0.130000
376     0.002540581     0.001622693     311.045     33.243    273.121     149.622    0.140000
377     0.002512722     0.001713073     312.873     33.803    273.458     149.954    0.140000
378     0.002637179     0.001580220     314.147     33.745    275.291     149.811    0.130000
379     0.002585179     0.001647774     312.141     33.450    276.257     149.975    0.140000
380     0.002685289     0.001640897     315.677     34.256    272.890     149.796    0.130000
381     0.002578823     0.001546369     314.394     33.917    273.079     149.794    0.140000
382     0.002419790     0.001479315     314.622     33.935    274.288     149.531    0.140000
383     0.002327570     0.001499434     311.427     31.970    269.029     149.621    0.130000
384     0.002501997     0.001834363     311.376     31.936    269.547     149.890    0.130000
385     0.002836018     0.001802133     311.100     32.099    272.704     149.983    0.140000
386     0.002549524     0.001841016     318.954     33.769    271.126     149.948    0.140000
387     0.002503368     0.001624689     318.880     33.527    271.265     149.254    0.130000
388     0.002210372     0.001510964     319.359     33.962    272.211     149.554    0.140000
389     0.002230301     0.001656462     319.709     33.853    269.944     149.073    0.130000
